,wind_direction,wind_force
D20220923_150322_1768.jpg,r,w
D20220923_143822_0064.jpg,0,0
D20220923_142822_9382.jpg,0,0
D20220923_141822_8701.jpg,0,0
D20220923_142322_9042.jpg,0,0
D20220923_143322_9723.jpg,0,0
D20220923_141322_8361.jpg,0,0
D20220923_140822_8020.jpg,0,0
D20220923_140322_7679.jpg,0,0
D20220923_135822_7339.jpg,,0
D20220923_133822_5976.jpg,,0
D20220923_135322_6998.jpg,0,0
D20220923_134822_6657.jpg,0,0
D20220923_134322_6317.jpg,0,0
D20220923_133322_5635.jpg,0,0
D20220923_132322_4953.jpg,0,0
D20220923_131822_4613.jpg,0,0
D20220923_132822_5295.jpg,0,0
D20220923_125822_3249.jpg,0,0
D20220923_130822_3931.jpg,0,0
D20220923_130322_3590.jpg,0,0
D20220923_131322_4272.jpg,0,0
D20220923_125322_2908.jpg,l,w
D20220923_124822_2567.jpg,0,0
D20220923_123322_1543.jpg,r,w
D20220923_123822_1884.jpg,l,m
D20220923_122822_1203.jpg,l,m
D20220923_124322_2226.jpg,r,m
D20220923_122322_0862.jpg,l,w
D20220923_121822_0521.jpg,l,w
D20220923_121322_0180.jpg,l,w
D20220923_120822_9839.jpg,r,w
D20220923_114322_8132.jpg,n,n
D20220923_120322_9498.jpg,l,s
D20220923_114822_8474.jpg,r,w
D20220923_115322_8816.jpg,l,m
D20220923_115822_9157.jpg,n,n
D20220923_112322_6767.jpg,0,0
D20220923_112822_7108.jpg,n,n
D20220923_111822_6427.jpg,l,w
D20220923_113822_7789.jpg,l,w
D20220923_113322_7449.jpg,r,w
D20220923_110322_5404.jpg,0,0
D20220923_110822_5745.jpg,r,m
D20220923_111322_6086.jpg,l,m
D20220923_105822_5064.jpg,r,w
D20220923_103322_3360.jpg,d,w
D20220923_104322_4042.jpg,r,s
D20220923_104822_4383.jpg,n,n
D20220923_105322_4724.jpg,l,w
D20220923_103822_3701.jpg,l,w
D20220923_102322_2678.jpg,d,w
D20220923_102822_3019.jpg,r,w
D20220923_101822_2336.jpg,l,w
D20220923_101322_1995.jpg,r,w
D20220923_095322_0625.jpg,l,m
D20220923_095822_0967.jpg,l,w
D20220923_100822_1653.jpg,0,0
D20220923_100322_1310.jpg,l,w
D20220923_094822_0283.jpg,l,m
D20220923_093322_9259.jpg,0,0
D20220923_094322_9942.jpg,l,s
D20220923_093822_9601.jpg,l,w
D20220923_091322_7893.jpg,r,w
D20220923_092822_8918.jpg,r,w
D20220923_091822_8235.jpg,l,w
D20220923_092322_8576.jpg,r,m
D20220923_090822_7551.jpg,d,w
D20220923_090322_7210.jpg,d,w
D20220923_085822_6868.jpg,d,w
D20220923_085322_6526.jpg,d,w
D20220923_084822_6185.jpg,d,w
D20220923_083822_5502.jpg,0,0
D20220923_084322_5843.jpg,0,0
D20220923_083322_5160.jpg,0,0
D20220923_082322_4477.jpg,0,0
D20220923_082822_4818.jpg,0,0
D20220923_081822_4135.jpg,0,0
D20220923_081322_3793.jpg,d,w
D20220923_080822_3451.jpg,d,m
D20220923_080322_3109.jpg,d,s
D20220923_075322_2423.jpg,d,m
D20220923_075822_2767.jpg,d,w
D20220923_074822_2079.jpg,d,s
D20220923_072824_0692.jpg,d,w
D20220923_073822_1387.jpg,d,w
D20220923_073322_1040.jpg,d,w
D20220923_074322_1734.jpg,d,w
D20220922_191943_8027.jpg,d,w
D20220922_190943_7344.jpg,d,w
D20220922_191443_7686.jpg,d,w
D20220923_072324_0345.jpg,d,w
D20220922_184443_5636.jpg,d,w
D20220922_185443_6319.jpg,d,w
D20220922_184943_5977.jpg,d,w
D20220922_190443_7002.jpg,d,w
D20220922_185943_6661.jpg,d,w
D20220922_182943_4611.jpg,n,n
D20220922_183943_5294.jpg,d,w
D20220922_182443_4269.jpg,n,n
D20220922_183443_4952.jpg,0,0
D20220922_180943_3244.jpg,n,n
D20220922_181443_3586.jpg,n,n
D20220922_181943_3927.jpg,d,w
D20220922_180443_2902.jpg,n,n
D20220922_174443_1535.jpg,r,w
D20220922_175943_2560.jpg,n,n
D20220922_175443_2219.jpg,n,n
D20220922_174943_1877.jpg,0,0
D20220922_173943_1193.jpg,r,w
D20220922_173443_0851.jpg,r,m
D20220922_172943_0509.jpg,d,w
D20220922_172443_0165.jpg,r,w
D20220922_171943_9821.jpg,r,w
D20220922_170943_9132.jpg,d,w
D20220922_171443_9476.jpg,d,w
D20220922_170443_8785.jpg,d,w
D20220922_165943_8439.jpg,d,w
D20220922_165443_8092.jpg,r,w
D20220922_164943_7746.jpg,d,w
D20220922_163943_7063.jpg,d,w
D20220922_164443_7405.jpg,r,w
D20220922_163443_6722.jpg,r,m
D20220922_162943_6380.jpg,d,w
D20220922_162443_6038.jpg,d,w
D20220922_161943_5697.jpg,d,w
D20220922_160943_5013.jpg,d,w
D20220922_160443_4672.jpg,d,w
D20220922_161443_5355.jpg,r,w
D20220922_154443_3305.jpg,r,w
D20220922_155943_4330.jpg,n,n
D20220922_154943_3647.jpg,r,w
D20220922_153943_2964.jpg,r,m
D20220922_155443_3989.jpg,d,w
D20220922_153443_2622.jpg,r,w
D20220922_151943_1595.jpg,n,n
D20220922_152943_2280.jpg,r,w
D20220922_152443_1937.jpg,r,m
D20220922_150943_0908.jpg,r,w
D20220922_145943_0222.jpg,r,w
D20220922_150443_0565.jpg,r,m
D20220922_151443_1252.jpg,r,w
D20220922_144443_9196.jpg,r,w
D20220922_145443_9878.jpg,n,n
D20220922_144943_9537.jpg,r,w
D20220922_143443_8514.jpg,r,m
D20220922_142443_7831.jpg,r,w
D20220922_142943_8173.jpg,r,m
D20220922_143943_8855.jpg,r,w
D20220922_140943_6809.jpg,r,m
D20220922_141943_7490.jpg,r,w
D20220922_141443_7150.jpg,r,m
D20220922_135943_6129.jpg,n,n
D20220922_135443_5788.jpg,r,m
D20220922_140443_6469.jpg,r,m
D20220922_133443_4426.jpg,l,w
D20220922_133943_4767.jpg,n,n
D20220922_134443_5107.jpg,n,n
D20220922_134943_5448.jpg,r,w
D20220922_132943_4085.jpg,r,w
D20220922_131943_3404.jpg,n,n
D20220922_132443_3745.jpg,r,w
D20220922_125943_2043.jpg,r,w
D20220922_130943_2723.jpg,r,m
D20220922_130443_2382.jpg,r,m
D20220922_131443_3063.jpg,d,w
D20220922_125443_1702.jpg,d,w
D20220922_124443_1020.jpg,r,w
D20220922_123943_0678.jpg,r,w
D20220922_124943_1361.jpg,r,m
D20220922_123443_0338.jpg,n,n
D20220922_085024_6181.jpg,0,0
D20220922_084024_5495.jpg,0,0
D20220922_084524_5839.jpg,0,0
D20220922_083524_5151.jpg,0,0
D20220922_083024_4806.jpg,0,0
D20220922_082524_4459.jpg,0,0
D20220922_081524_3767.jpg,n,n
D20220922_082024_4111.jpg,d,w
D20220922_080524_3085.jpg,d,w
D20220922_081024_3426.jpg,d,w
D20220922_080024_2743.jpg,d,w
D20220922_075524_2402.jpg,d,w
D20220922_074524_1718.jpg,d,w
D20220922_075024_2060.jpg,d,w
D20220922_074024_1376.jpg,d,w
D20220922_073524_1035.jpg,d,w
D20220922_073024_0693.jpg,d,w
D20220920_124247_2192.jpg,r,m
D20220920_123247_1510.jpg,0,0
D20220920_123747_1851.jpg,r,w
D20220920_122747_1168.jpg,r,m
D20220920_121247_0142.jpg,0,0
D20220920_120747_9800.jpg,r,s
D20220920_122247_0826.jpg,l,w
D20220920_121747_0484.jpg,l,w
D20220920_120247_9457.jpg,r,m
D20220920_115747_9115.jpg,r,w
D20220920_115247_8775.jpg,0,0
D20220920_114747_8435.jpg,r,m
D20220920_114247_8095.jpg,l,w
D20220920_113747_7755.jpg,0,0
D20220920_113247_7414.jpg,0,0
D20220920_112747_7075.jpg,r,w
D20220920_112247_6734.jpg,r,w
D20220920_111747_6394.jpg,r,w
D20220920_111247_6053.jpg,0,0
D20220920_110747_5712.jpg,0,0
D20220920_110247_5372.jpg,l,w
D20220920_105747_5031.jpg,u,w
D20220920_082247_4452.jpg,0,0
D20220920_082747_4793.jpg,l,w
D20220920_083247_5134.jpg,u,w
D20220920_083747_5476.jpg,u,w
D20220920_084247_5817.jpg,u,w
D20220920_084747_6158.jpg,l,w
D20220920_085247_6499.jpg,u,w
D20220920_085747_6842.jpg,u,w
D20220920_090247_7184.jpg,u,m
D20220920_091247_7868.jpg,u,w
D20220920_090747_7526.jpg,u,w
D20220920_091747_8209.jpg,d,w
D20220920_092247_8550.jpg,d,w
D20220920_092747_8891.jpg,u,w
D20220920_093247_9233.jpg,r,m
D20220920_093747_9574.jpg,r,m
D20220920_094247_9916.jpg,d,w
D20220920_094747_0257.jpg,r,w
D20220920_095247_0599.jpg,r,w
D20220920_095747_0940.jpg,r,w
D20220920_100247_1282.jpg,r,w
D20220920_101247_1964.jpg,d,w
D20220920_100747_1623.jpg,r,w
D20220920_101747_2305.jpg,0,0
D20220920_102247_2646.jpg,r,w
D20220920_102747_2987.jpg,l,w
